,user_id,event_type,event_time,item_category,price
0,103,view,2025-09-18 13:33:00,Electronics,0
1,180,click,2025-09-18 06:53:00,Food,0
2,93,view,2025-09-04 05:09:00,Food,0
3,15,purchase,2025-09-04 23:04:00,Food,289
4,107,view,2025-09-02 05:36:00,Food,0
5,72,view,2025-09-22 16:36:00,Electronics,0
6,189,view,2025-09-01 20:44:00,Clothes,0
7,21,click,2025-09-01 22:13:00,Food,0
8,103,view,2025-09-03 13:09:00,Food,0
9,122,click,2025-09-13 05:04:00,Food,0
10,75,click,2025-09-19 22:37:00,Food,0
11,88,view,2025-09-02 08:13:00,Food,0
12,117,click,2025-09-24 06:34:00,Clothes,0
13,100,click,2025-09-17 21:57:00,Food,0
14,104,click,2025-09-19 19:11:00,Food,0
15,152,view,2025-09-05 17:47:00,Food,0
16,131,view,2025-09-22 10:04:00,Electronics,0
17,150,view,2025-09-18 19:44:00,Clothes,0
18,53,view,2025-09-01 13:12:00,Clothes,0
19,2,purchase,2025-09-28 13:35:00,Clothes,354
20,88,view,2025-09-13 06:11:00,Clothes,0
21,158,click,2025-09-28 04:17:00,Food,0
22,38,view,2025-09-14 05:54:00,Electronics,0
23,130,view,2025-09-06 11:14:00,Food,0
24,192,click,2025-09-12 13:56:00,Clothes,0
25,188,click,2025-09-28 12:32:00,Electronics,0
26,21,view,2025-09-26 13:10:00,Clothes,0
27,161,view,2025-09-13 12:32:00,Electronics,0
28,58,view,2025-09-22 10:45:00,Clothes,0
29,22,view,2025-09-08 15:28:00,Electronics,0
30,89,view,2025-09-04 14:11:00,Electronics,0
31,49,view,2025-09-07 15:49:00,Electronics,0
32,59,view,2025-09-13 13:17:00,Electronics,0
33,170,click,2025-09-05 15:50:00,Electronics,0
34,188,view,2025-09-15 01:16:00,Clothes,0
35,15,view,2025-09-27 13:07:00,Food,0
36,190,view,2025-09-11 08:57:00,Food,0
37,190,click,2025-09-07 18:34:00,Clothes,0
38,175,click,2025-09-18 20:08:00,Electronics,0
39,190,view,2025-09-05 21:28:00,Clothes,0
40,51,click,2025-09-16 16:08:00,Electronics,0
41,108,view,2025-09-23 06:07:00,Electronics,0
42,55,view,2025-09-07 14:03:00,Food,0
43,64,view,2025-09-13 04:25:00,Food,0
44,131,view,2025-09-13 02:13:00,Food,0
45,51,click,2025-09-21 01:53:00,Food,0
46,135,click,2025-09-24 10:26:00,Clothes,0
47,21,view,2025-09-07 01:09:00,Electronics,0
48,73,click,2025-09-18 14:38:00,Electronics,0
49,167,view,2025-09-08 15:43:00,Clothes,0
50,18,view,2025-09-21 17:31:00,Food,0
51,132,view,2025-09-20 23:16:00,Food,0
52,89,view,2025-09-08 17:45:00,Clothes,0
53,60,view,2025-09-15 17:12:00,Food,0
54,14,view,2025-09-14 01:59:00,Food,0
55,9,view,2025-09-20 00:50:00,Clothes,0
56,90,view,2025-09-28 21:20:00,Food,0
57,53,click,2025-09-08 22:47:00,Electronics,0
58,130,view,2025-09-15 14:33:00,Food,0
59,84,purchase,2025-09-29 17:15:00,Food,375
60,92,view,2025-09-08 00:49:00,Food,0
61,111,click,2025-09-22 01:58:00,Food,0
62,188,click,2025-09-10 15:47:00,Clothes,0
63,199,click,2025-09-16 00:37:00,Clothes,0
64,172,view,2025-09-27 12:36:00,Clothes,0
65,8,click,2025-09-16 12:49:00,Clothes,0
66,175,view,2025-09-21 11:21:00,Food,0
